Ref_No,Year,Authors,Title,Synthesis_Group,Architecture,PCF_Domain,Target_Property,Dataset_Size_N,Effect_Metric,Effect_Value,Effect_SE,Reported_R2,Reported_RMSE,Reported_MAE,Reported_Accuracy,Inference_Time_ms,Comparator,Simulation_Tool,Validation_Type,Fabrication_Validation,Open_Data,Risk_or_QS_Total,Heterogeneity_Notes,Extraction_Status
43,2019,"Chugh, S., Gulistan, A., Ghosh, S., & Rahman, B. M. A.",Machine learning approach for computing optical properties of a photonic crystal fiber,Classical ML,Machine learning general,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
44,2020,"Hasan, M. R., Islam, M. A., & Anower, M. S.",Highly sensitive biosensor using a photonic crystal fiber with ANN-aided optimization,Classical ML,ANN / MLP / BPNN,PCF-SPR / biosensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
45,2021,"Rana, S., & Raizada, V.",Machine learning-assisted design of PCF for THz applications: A survey,Classical ML,Machine learning general,THz PCF waveguides,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
46,2021,"Wang, G., Tan, Y., & Yu, Z.",Deep neural networks for image-based forward modeling of microstructured optical fibers,Deep learning,DNN / deep neural network,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
47,2022,"Islam, M. S., & Ahmed, K.",Exploring machine learning for prediction of optical properties in liquid-infiltrated PCF biosensors,Classical ML,Machine learning general,PCF-SPR / biosensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
48,2023,"Ahmed, K., & Hossain, M. B.",Deep learning surrogate model for photonic crystal fiber dispersion engineering,Deep learning,DNN / deep neural network,Optical communications / nonlinear optics,chromatic/group velocity dispersion,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
49,2023,"Hossain, M. B., Ahmed, K., & Paul, B. K.",XGBoost-assisted rapid optimization of PCF-based chemical sensors,Classical ML,XGBoost / gradient boosting / LightGBM,Chemical / gas / liquid sensing,sensitivity / FOM / RIU,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
50,2023,"Yao, T., & Zhang, L.",Inverse design of dispersion for photonic devices using LSTM-gradient-free hybrid optimization,Inverse / generative design,LSTM / recurrent,Optical communications / nonlinear optics,chromatic/group velocity dispersion; geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
51,2024,"Zhang, L., Chen, Y., & Wang, X.",Variational autoencoder for inverse design of THz-PCF structures,Inverse / generative design,VAE / beta-VAE / CVAE,THz PCF waveguides,geometry / topology / structural validity,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
52,2024,"Chen, Y., Zhang, L., & Liu, H.",Physics-informed neural networks for photonic crystal fiber mode analysis,Deep learning,PINN / physics-informed,General PCF modeling / design,Not explicit in title,,R2/RMSE/MAE - choose from full text,,,,,,,,FEM/FDTD/analytical/baseline - verify,,Holdout/CV/external/fabrication - verify,,,,,Needs full-text extraction
